Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Columbia Gas of Kentucky - Low Income Furnace Replacement Program,KY,Financial Incentive,Rebate Program,05/06/2010,10/28/2025
TVA - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,03/05/2015,10/01/2025
Kentucky PACE Financing,KY,Financial Incentive,PACE Financing,06/22/2015,01/02/2024
City of Louisville - Go Green Loan Program,KY,Financial Incentive,Loan Program,08/17/2016,05/28/2021
TVA - Commercial Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,06/02/2020,09/11/2025
Sales Tax Exemption - Machinery for New and Expanded Industry,KY,Financial Incentive,Sales Tax Incentive,12/05/2023,09/26/2025
Kentucky - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,KY,Financial Incentive,Grant Program,06/13/2024,06/13/2024
Louisville Gas and Electric and Kentucky Utilities – Online Marketplace,KY,Financial Incentive,Rebate Program,09/12/2024,09/12/2024
Louisville Gas and Electric and Kentucky Utilities – WeCare for Homeowners and Renters,KY,Financial Incentive,Rebate Program,09/12/2024,09/12/2024
Louisville Gas and Electric and Kentucky Utilities – WeCare for Apartment Building Owners,KY,Financial Incentive,Rebate Program,09/12/2024,09/12/2024
Louisville Gas and Electric and Kentucky Utilities – Small Business Audit and Direct Install,KY,Financial Incentive,Rebate Program,09/12/2024,09/12/2024
Louisville Gas and Electric and Kentucky Utilities – Bring Your Own Thermostat,KY,Financial Incentive,Rebate Program,10/03/2024,10/03/2024
Louisville Gas and Electric and Kentucky Utilities – Optimized EV Charging,KY,Financial Incentive,Rebate Program,10/03/2024,10/03/2024
Solar Energy System Exemption,LA,Financial Incentive,Property Tax Incentive,02/07/2003,09/26/2025
Net Metering,LA,Regulatory Policy,Net Metering,08/01/2003,03/24/2025
Interconnection Guidelines,LA,Regulatory Policy,Interconnection,05/19/2004,01/14/2024
Building Energy Code,LA,Regulatory Policy,Building Energy Code,07/21/2006,06/18/2023
City of New Orleans - Net Metering,LA,Regulatory Policy,Net Metering,04/17/2007,03/24/2025
Energy Reduction in Major State Facilities,LA,Regulatory Policy,Energy Standards for Public Buildings,08/28/2007,06/27/2024
Entergy New Orleans - Residential Energy Efficiency Program,LA,Financial Incentive,Rebate Program,11/06/2009,10/16/2025
Entergy New Orleans - Small and Large Commercial and Industrial Incentives Program,LA,Financial Incentive,Rebate Program,11/09/2009,08/12/2025
Louisiana Solar Rights,LA,Regulatory Policy,Solar/Wind Access Policy,06/30/2010,05/26/2023
Solar Contractor Licensing,LA,Regulatory Policy,Solar/Wind Contractor Licensing,08/11/2010,05/09/2024
Entergy (Louisiana and Gulf States) - Residential Energy Efficiency Program,LA,Financial Incentive,Rebate Program,06/19/2015,10/22/2025
AEP (SWEPCO) - Efficient Products Rebates Program,LA,Financial Incentive,Rebate Program,09/28/2015,08/25/2025
AEP (SWEPCO) - Louisiana Commercial Solutions Standard Offer Program,LA,Financial Incentive,Rebate Program,09/29/2015,08/25/2025
Cleco- Power Wise™ Residential Program,LA,Financial Incentive,Rebate Program,10/22/2015,08/13/2025
Cleco- Power Wise™ Commercial Program,LA,Financial Incentive,Rebate Program,10/22/2015,08/13/2025
New Orleans City - Energy Smart Program,LA,Financial Incentive,Rebate Program,11/10/2016,07/19/2022
Entergy (Louisiana and Gulf States) - eTech Program,LA,Financial Incentive,Rebate Program,07/29/2021,03/24/2025
Louisiana Community Solar Rules,LA,Regulatory Policy,Community Solar Rules,06/23/2022,05/22/2025
City of New Orleans - Community Solar Rules,LA,Regulatory Policy,Community Solar Rules,02/15/2023,05/20/2025
City of New Orleans - Renewable and Clean Portfolio Standard,LA,Regulatory Policy,Renewables Portfolio Standard,07/21/2023,07/01/2025
Entergy New Orleans - eTech Program,LA,Financial Incentive,Rebate Program,03/06/2024,03/06/2024
Cleco Power - Commercial EV Rebate,LA,Financial Incentive,Rebate Program,06/05/2024,06/05/2024
Cleco Power - Residential EV Rebate,LA,Financial Incentive,Rebate Program,06/05/2024,06/05/2024
Louisiana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,LA,Financial Incentive,Grant Program,06/12/2024,06/12/2024
Residential Renewable Energy Income Tax Credit,MA,Financial Incentive,Personal Tax Credit,01/01/2000,01/02/2025
Renewable Energy Equipment Sales Tax Exemption,MA,Financial Incentive,Sales Tax Incentive,01/01/2000,01/02/2025
Renewable Energy Property Tax Exemption,MA,Financial Incentive,Property Tax Incentive,01/01/2000,01/02/2025
Excise Tax Exemption for Solar or Wind Powered Systems,MA,Financial Incentive,Corporate Tax Exemption,01/01/2000,01/02/2025
Excise Tax Deduction for Solar or Wind Powered Systems,MA,Financial Incentive,Corporate Tax Deduction,01/01/2000,01/02/2025
Net Metering,MA,Regulatory Policy,Net Metering,01/01/2000,01/02/2025
Massachusetts Solar Easements & Rights Laws,MA,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,01/03/2025
Renewable Portfolio Standard,MA,Regulatory Policy,Renewables Portfolio Standard,01/01/2000,01/02/2025
Fuel Mix and Emissions Disclosure,MA,Regulatory Policy,Generation Disclosure,01/01/2000,08/09/2023
Renewable Energy Trust Fund,MA,Regulatory Policy,Public Benefits Fund,01/01/2000,01/16/2024
Interconnection Standards,MA,Regulatory Policy,Interconnection,06/19/2003,01/14/2024
Holyoke Gas & Electric - Residential Energy Assistance Program,MA,Financial Incentive,Loan Program,04/12/2006,01/04/2025
Holyoke Gas & Electric - Commercial Energy Assistance Program,MA,Financial Incentive,Loan Program,04/12/2006,01/04/2025
Wakefield Municipal Gas & Light Department - Residential Conservation Services Program,MA,Financial Incentive,Rebate Program,04/14/2006,06/30/2025
Massachusetts Appliance and Equipment Energy Efficiency Standards,MA,Regulatory Policy,Appliance/Equipment Efficiency Standards,06/02/2006,10/31/2024
Chicopee Electric Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/18/2006,05/30/2025
Concord Municipal Light Plant - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/18/2006,05/30/2025
Concord Municipal Light Plant - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/18/2006,01/04/2025
Mansfield Municipal Electric Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/19/2006,03/24/2025
Marblehead Municipal Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/19/2006,05/07/2024
Reading Municipal Light Department - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/24/2006,01/10/2025
Building Energy Code,MA,Regulatory Policy,Building Energy Code,07/27/2006,01/03/2023
Shrewsbury Electric - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,08/04/2006,01/05/2025
Mass Save - HEAT Loan Program,MA,Financial Incentive,Loan Program,09/01/2006,05/23/2024
Energy Efficiency Fund,MA,Regulatory Policy,Public Benefits Fund,09/21/2006,01/17/2024
Massachusetts LEED Plus 2.0 Standard for New Construction,MA,Regulatory Policy,Energy Standards for Public Buildings,05/29/2007,06/20/2024
Model As-of Right Zoning Ordinance or Bylaw: Allowing Use of Wind Energy Facilities,MA,Regulatory Policy,Solar/Wind Permitting Standards,11/02/2007,05/26/2023
Massachusetts Green Power Purchasing Commitment,MA,Regulatory Policy,Green Power Purchasing,04/18/2007,12/13/2024
NextZero - Offered by 21 Utilities through the MMWEC,MA,Financial Incentive,Rebate Program,01/15/2009,10/28/2025
Cape Light Compact - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/08/2009,07/07/2023
Commonwealth Hydropower Program,MA,Financial Incentive,Grant Program,09/17/2009,06/06/2024
Concord Municipal Light Plant - Solar Photovoltaic Rebate Program,MA,Financial Incentive,Rebate Program,08/01/2009,01/04/2025
Model As-of Right Zoning Ordinance or Bylaw: Allowing Use of Large-Scale Solar Energy Facilities,MA,Regulatory Policy,Solar/Wind Permitting Standards,10/01/2009,05/26/2023
Green Communities Grant Program,MA,Financial Incentive,Grant Program,03/20/2010,06/07/2024
Local Option - Energy Revolving Loan Fund,MA,Financial Incentive,PACE Financing,08/10/2010,01/16/2024
MMWEC Green Opportunity Commercial and Industrial Efficiency Program,MA,Financial Incentive,Rebate Program,10/08/2010,08/12/2025
Energy Efficiency First Fuel Requirement (Gas and Electric),MA,Regulatory Policy,Energy Efficiency Resource Standard,12/15/2010,08/19/2025
Residential & Small-Scale Solar Hot Water Program,MA,Financial Incentive,Rebate Program,01/13/2011,01/02/2025
Taunton Municipal Lighting Plant - Residential Energy Star Appliance Rebate Program,MA,Financial Incentive,Rebate Program,08/08/2010,07/11/2025
Reading Municipal Light Department - Business Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/24/2006,01/04/2025
Reading Municipal Light Department - Residential and Small Commercial Solar Rebate Program,MA,Financial Incentive,Rebate Program,02/07/2011,01/04/2025
Alternative Energy Portfolio Standard,MA,Regulatory Policy,Other Policy,02/09/2011,07/20/2023
MassSAVE (Electric) - Commercial New Construction/Major Renovation Program,MA,Financial Incentive,Rebate Program,09/01/2006,05/23/2024
Mass Save (Electric) - Large Commercial Retrofit Program,MA,Financial Incentive,Rebate Program,09/01/2006,05/08/2024
Mass Save - Residential Energy Efficiency Programs,MA,Financial Incentive,Rebate Program,09/01/2006,10/29/2025
Wellesley Municipal Light Plant - Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,05/05/2011,06/05/2025
Hudson Light & Power - Photovoltaic Incentive Program,MA,Financial Incentive,Rebate Program,06/04/2012,01/04/2025
Chicopee Electric Light - Commercial Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,07/18/2006,11/14/2024
Cape Light Compact- Residential Energy Efficiency Rebate Program,MA,Financial Incentive,Rebate Program,06/03/2015,05/23/2024
Mass Save - Small Business Direct Install Program,MA,Financial Incentive,Rebate Program,10/08/2015,05/08/2024
City of Boston - Green Building Standard,MA,Regulatory Policy,Energy Standards for Public Buildings,09/30/2016,06/18/2024
PACE Massachusetts Financing,MA,Financial Incentive,PACE Financing,05/31/2017,01/15/2024
Solar Massachusetts Renewable Target (SMART) Program,MA,Financial Incentive,Performance-Based Incentive,11/26/2019,10/16/2025
Energy Storage Target,MA,Regulatory Policy,Energy Storage Target,02/26/2020,01/01/2025
MassEVIP Fleets Charging Program,MA,Financial Incentive,Grant Program,06/05/2021,06/06/2024
MassEVIP Workplace and Fleet Charging Program,MA,Financial Incentive,Grant Program,06/05/2021,06/06/2024
MassEVIP Public Access Charging (PAC) Program,MA,Financial Incentive,Grant Program,06/05/2021,06/06/2024
MassEVIP Multi-Unit Dwelling (MUD) and Educational Campus Charging Program,MA,Financial Incentive,Grant Program,06/05/2021,06/06/2024
MassEVIP DC Fast Charging Program,MA,Financial Incentive,Grant Program,06/05/2021,06/06/2024
MOR-EV,MA,Financial Incentive,Rebate Program,06/05/2021,01/03/2025
MOR-EV Trucks Program,MA,Financial Incentive,Rebate Program,06/05/2021,01/03/2025
Braintree Electric Light Department - Bring Your Own Charger Program,MA,Financial Incentive,Rebate Program,08/05/2021,03/24/2025
Eversource - Commercial Electric Vehicle Charging Program,MA,Financial Incentive,Rebate Program,08/05/2021,03/24/2025
National Grid (Electric) - Electric Vehicle Charging Station Program,MA,Financial Incentive,Rebate Program,08/05/2021,10/16/2025
NextZero EV Charger Program,MA,Financial Incentive,Rebate Program,08/05/2021,01/05/2025
Massachusetts Community Renewable Energy - Neighborhood Net Metering,MA,Regulatory Policy,Community Solar Rules,06/22/2022,01/02/2025
Mass Save - Residential New Home Construction Incentives,MA,Financial Incentive,Rebate Program,07/19/2022,05/21/2024
Wakefield Municipal Gas & Light Department - Solar Rebate Program,MA,Financial Incentive,Rebate Program,02/22/2023,10/22/2025
Town of Ipswich Electric Light Department - Solar PV Rebate Program,MA,Financial Incentive,Rebate Program,02/22/2023,01/04/2025
Clean Peak Energy Standard,MA,Regulatory Policy,Renewables Portfolio Standard,07/22/2023,09/25/2025
Clean Energy Standard,MA,Regulatory Policy,Renewables Portfolio Standard,07/22/2023,01/03/2025
National Grid Residential EV Charging Infrastructure Program,MA,Financial Incentive,Rebate Program,10/05/2023,09/16/2025
Eversource Residential EV Charging Program,MA,Financial Incentive,Rebate Program,10/05/2023,09/16/2025
Accelerating Clean Transportation (ACT) School Bus Fleet Deployment Program,MA,Financial Incentive,Grant Program,11/29/2023,06/09/2025
Offshore Wind Energy Target,MA,Regulatory Policy,Offshore Wind Energy Target,05/16/2024,05/29/2024
Massachusetts - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,MA,Financial Incentive,Grant Program,06/12/2024,06/12/2024
City of Boston - Green Building Guidelines,MA,Regulatory Policy,Building Energy Code,07/22/2024,07/22/2024
Ride Clean Mass,MA,Financial Incentive,Rebate Program,01/03/2025,01/03/2025
Hingham Municipal Lighting Plant Solar Rebate Program,MA,Financial Incentive,Rebate Program,01/04/2025,01/04/2025
Belmont Light - Battery Storage Rebate Program,MA,Financial Incentive,Rebate Program,01/05/2025,01/05/2025
NextZero Residential Battery Rebate Program,MA,Financial Incentive,Rebate Program,01/05/2025,01/05/2025
Town of Ipswich Electric Light Department - Battery Storage Rebate,MA,Financial Incentive,Rebate Program,01/05/2025,08/26/2025
Unitil (Electric) - EV Ready2Charge Rebate Program,MA,Financial Incentive,Rebate Program,01/05/2025,01/05/2025
National Grid - Charge Smart MA,MA,Financial Incentive,Performance-Based Incentive,01/05/2025,01/05/2025
MassSAVE (Electric) - Connected Solutions Program,MA,Financial Incentive,Performance-Based Incentive,01/05/2025,01/05/2025
MassSAVE (Electric) - CI Connected Solutions Program,MA,Financial Incentive,Performance-Based Incentive,01/05/2025,01/05/2025
NextZero Connected Homes Program,MA,Financial Incentive,Performance-Based Incentive,01/05/2025,01/05/2025
Leading By Example Restoration Grant for Solar PV & Decarbonized Systems,MA,Financial Incentive,Grant Program,06/18/2025,06/18/2025
Leading by Example Solar-Decarbonization Grant Program,MA,Financial Incentive,Grant Program,06/18/2025,06/18/2025
SHELD Greenhouse Gas Reduction Rebate Program,MA,Financial Incentive,Rebate Program,11/13/2025,11/13/2025
Maryland Appliance and Equipment Energy Efficiency Standards,MD,Regulatory Policy,Appliance/Equipment Efficiency Standards,06/01/2006,10/30/2024
Building Energy Code,MD,Regulatory Policy,Building Energy Code,07/21/2006,05/21/2025
Howard County - High Performance and Green Building Property Tax Credit,MD,Financial Incentive,Property Tax Incentive,07/24/2009,11/20/2024
Baltimore County - Property Tax Credit for High Performance Buildings and Homes,MD,Financial Incentive,Property Tax Incentive,09/15/2010,11/20/2024
Sales Tax Holiday for Energy-Efficient Appliances,MD,Financial Incentive,Sales Tax Incentive,10/26/2010,01/06/2025
Empower Maryland Efficiency Act,MD,Regulatory Policy,Energy Efficiency Resource Standard,12/20/2010,08/01/2025
Anne Arundel County - High Performance Dwelling Property Tax Credit,MD,Financial Incentive,Property Tax Incentive,01/28/2011,07/06/2020
EmPOWER Maryland Low Income Energy Efficiency Program,MD,Financial Incentive,Rebate Program,10/16/2012,08/01/2025
Parking Lot Solar PV with EV Charger Grant Program,MD,Financial Incentive,Grant Program,12/04/2014,10/29/2020
Commercial and Industrial Grant Program,MD,Financial Incentive,Grant Program,01/06/2015,04/02/2021
SMECO- Small Business/Non-Profit Solutions,MD,Financial Incentive,Rebate Program,02/27/2015,08/01/2024
DHCD- Multifamily Energy Efficiency and Housing Affordability Program,MD,Financial Incentive,Loan Program,07/21/2015,09/23/2022
